word,ko,zh_Hans,etym_zh_Hans,pron,ant,syn,etym,pof,en,var
iconoclast,"우상 파괴자, 인습 타파주의자",反传统信仰者；反传统者,,/ʌɪˈkɒnəklast/,,"sceptic, questioner","Borrowed from French iconoclaste, from Byzantine Greek εἰκονοκλάστης (eikonoklástēs, literally “image breaker”).
",[NOUN],"If you describe someone as an iconoclast, you mean that they often criticize beliefs and things that are generally accepted by society.",
homonym,동철 (동음) 이의어(‘…할 수 있는’의 뜻을 나타내는 can과 ‘통조림으로 만들다’는 뜻의 can처럼 철자는 같으나 뜻은 다른 단어. 발음도 동일할 수 있음),同形（或同音）异义词,,/ˈhɒmənɪm/,,,"From homo- +‎ -onym.
",[NOUN],"one of a group of words pronounced or spelt in the same way but having different meanings Compare homograph, homophone",
euphemism,완곡 어구[표현],委婉语，委婉说法,,/ˈjuːfəmɪz(ə)m/,,"substitute, mild alternative, indirect term, understatement, underplaying, softening, politeness, genteelism, coy term","Recorded since 1656; from Ancient Greek εὐφημισμός (euphēmismós), from εὐφημίζω (euphēmízō), from εὔφημος (eúphēmos, “uttering sound of good omen, abstaining from inauspicious words”), from εὖ (eû, “well”) + φήμη (phḗmē, “a voice, a prophetic voice, rumor, talk”), from φάναι (phánai, “to speak, say”).
",[NOUN],"A euphemism is a polite word or expression that is used to refer to things which people may find upsetting or embarrassing to talk about, for example sex, the human body, or death.",
melodious,"듣기 좋은, 음악 같은",旋律优美的，悦耳的,,/mɪˈləʊdɪəs/,,"tuneful, melodic, musical, dulcet, round, sweet-sounding, sweet-toned, silvery, silvery-toned, euphonious, mellifluous, lyrical, soothing","From Old French melodios
",[ADJ],A melodious sound is pleasant to listen to.,
eerily,"무시무시하게, 무서워하여; 불가사의하게",怪异地;怪异的;奇异的;可怕地,,/ˈɪərɪli/,,,"eerie +‎ -ly
",[ADV],,
apothegm,"경구, 격언",箴言;警句;名人警句;四句箴言,记忆技巧：apo 与…有关 + the 神 + gm → 神的告诫 → 格言,/ˈapəˌTHem/,,"saying, proverb, aphorism, adage, saw, axiom, formula, expression, phrase, rule, dictum, precept, epigram, gnome","Mid 16th century: from French apophthegme or Medieval Latin apothegma, from Ancient Greek ἀπόφθεγμα (apóphthegma), from ἀποφθέγγομαι (apophthéngomai, “speak out”)
",[NOUN],a variant spelling of apophthegm,
attenuant,희석하는,稀释的；使变淡的,,,,,"From Latin attenuans, present participle of attenuare: compare French atténuant. See attenuate.
",[ADJ],"causing dilution or thinness, esp of the blood",
brevity,간결성,简短，简洁；短暂,,/ˈbrɛvɪti/,,"concision, succinctness, economy of language, compendiousness, shortness, briefness, pithiness, pith, incisiveness, crispness, compactness, compression","First attested in English in 1509; either:
",[NOUN],The brevity of something is the fact that it is short or lasts for only a short time.,
incessant,"끊임없는, 쉴새없는",连续不断的，没完没了的,,/ɪnˈsɛs(ə)nt/,,"unceasing, constant, continual, unabating, interminable, endless, unending, never-ending, everlasting, eternal, perpetual, continuous, non-stop, uninterrupted, unbroken, ongoing, unremitting, persistent, relentless, unrelenting, unrelieved, sustained, unflagging, unwearying, untiring","From Old French incessant
",[ADJ],An incessant process or activity is one that continues without stopping.,
amphibian,양서류 (동물),两栖动物,,/amˈfɪbɪən/,,,"From Ancient Greek ἀμφίβιον (amphíbion), from ἀμφί (amphí, “of both kinds”) + βίος (bíos, “life”)
",[NOUN],Amphibians are animals such as frogs and toads that can live both on land and in water.,
turgid,복잡하고 따분한[이해하기 힘든],（讲话、写作、风格等）太严肃的，枯燥乏味的,,/ˈtəːdʒɪd/,,congested,"From Latin turgidus (“swollen, inflated”), from turgeō (“to swell”).
",[ADJ],"If you describe something such as a piece of writing or a film as turgid, you think it is boring and difficult to understand.",
gabby,"수다스러운, 말이 많은",贫嘴的;饶舌的; 聒噪的,,/ˈɡabi/,,"chatty, loquacious, garrulous, voluble, conversational, gossipy, gossiping, chattery, chattering, babbling, blathering, gibbering, communicative","gab +‎ -y
",[ADJ],inclined to chatter; talkative,
architect,건축가,建筑师,,/ˈɑːkɪtɛkt/,,"planner, builder, building consultant, draughtsman","Middle French architecte, from Ancient Greek ἀρχιτέκτων (arkhitéktōn, “master builder”), from ἀρχι- (arkhi-, “chief”) + τέκτων (téktōn, “builder”).
",[NOUN],An architect is a person who designs buildings.,
misanthropic,사람을 싫어하는,厌恶人类的；遁世的，不与他人交往的,,/mɪs(ə)nˈθrɒpɪk/,,"unsociable, unfriendly, reclusive, uncongenial, unneighbourly, inhospitable, cynical, suspicious, distrustful, sceptical, jaundiced, narrow-minded","From misanthrope +‎ -ic.
",[ADJ],"If you describe a person or their feelings as misanthropic, you mean that they do not like other people.",
bolster,"북돋우다, 강화[개선]하다",支撑；加固；提高；改善,,/ˈbəʊlstə/,,"cushion, pad, support, rest","From Middle English bolster, bolstre, from Old English bolster (“pillow”), from Proto-Germanic *bulstraz, *bulstrą (“pillow, cushion”). Cognate with Scots bowster (“bolster”), West Frisian bulster (“mattress”), Dutch bolster (“husk, shell”), German Polster (“bolster, pillow, pad”), Swedish bolster (“soft mattress, bolster”), Icelandic bólstur (“pillow”).
",[VERB],"If you bolster something such as someone's confidence or courage, you increase it.",
humility,겸손,谦逊，谦恭,,/hjʊˈmɪlɪti/,,"humbleness, modestness, meekness, lack of pride, lack of vanity, diffidence, unassertiveness","From Middle English humilite, from Old French (h)umilité, from Latin humilitas (“lowness, meanness, baseness, in Late Latin humility”), from humilis (“low, lowly, humble, earth”); see humble.
",[NOUN],Someone who has humility is not proud and does not believe they are better than other people.,
dyslexia,"난독증, 독서 장애",（因无法分清字形而造成的）读写障碍,,/dɪsˈlɛksɪə/,,,"Circa 1890, from New Latin dys- + lexia, from Ancient Greek δυσ- (dus-) expressing the idea of difficulty, and λέξις (léxis, “diction”, “word”).
",[NOUN],"If someone suffers from dyslexia, they have difficulty with reading because of a slight disorder of their brain.",
precursor,선도자(격인 사람·사물),先驱，先锋；先兆，前兆,,/prɪˈkəːsə/,,"predecessor, forefather, father, parent, antecedent, ancestor, forebear, progenitor","Borrowed from Latin praecursor (“forerunner”).
",[NOUN],"A precursor of something is a similar thing that happened or existed before it, often something which led to the existence or development of that thing.",
canny,(특히 재계·정계에서) 약삭빠른[영리한],（尤指在生意或财务方面）精明的，机灵的,,/ˈkani/,,"astute, sharp, sharp-witted, discerning, acute, penetrating, discriminating, perceptive, perspicacious, clever, intelligent, wise, sagacious, sensible, judicious, circumspect, careful, prudent, cautious","Northern English dialect from can (“to know”)[1], from Middle English can, first and third person singular of cunnen, connen (“to be able, know how to”), from Old English cunnan (“to know how to, be able to”). Compare Scots canny, Old English cann (“knowledge, assertion”). More at can, cunning.
",[ADJ],A canny person is clever and able to think quickly. You can also describe a person's behaviour as canny.,
decay,"부패, 부식",腐蚀；（使）衰败，（使）衰弱,,/dɪˈkeɪ/,,"rot, putrefy, go bad, go off, spoil, fester, perish, deteriorate","From Middle English decayen, dekeyen (“to decrease, diminish”), from Anglo-Norman decäir (“to fall away, decay, decline”), from Medieval Latin *dēcadere, restored form of Latin decidere (“to fall away, fail, sink, perish”), from de (“down”) + cadere (“to fall”); compare decadent and decadence.
",[VERB],"When something such as a dead body, a dead plant, or a tooth decays, it is gradually destroyed by a natural process.",
jocund,"명랑한, 쾌활한",高兴的；快乐的；愉快的,,/ˈdʒɒk(ə)nd/,,"happy, jolly, merry, bright, glad, sunny, joyful, joyous, light-hearted, in good spirits, in high spirits, sparkling, bubbly, exuberant, ebullient, cock-a-hoop, elated, gleeful, breezy, airy, cheery, sprightly, jaunty, animated, radiant, smiling, grinning, laughing, mirthful, frolicsome","From Old French jocond, from Latin iūcundus (“pleasant, agreeable”).
",[ADJ],of a humorous temperament; merry,
effulgent,"찬란히 빛나는, 눈부신",灿烂的;光辉的,记忆技巧：ef 出，外 + fulg 发光 + ent 具有…性质的 → 发出光 → 光辉灿烂的,/ɪˈfʌldʒ(ə)nt/,,"light, brilliant, vivid, blazing, dazzling, beaming, intense, glaring","From Latin effulgēns (“flashing, glittering”), present participle of effulgeō (“to shine or gleam forth, flash, glitter”), from ē- (variant of ex- (prefix meaning ‘out; away’)) + fulgeō (“to flash, gleam, glisten, glitter, shine”) (from Proto-Indo-European *bʰel- (“shiny; white”)).[1]
",[ADJ],radiant; brilliant,
sustenance,"(음식·물 등) 생명을 건강하게 유지시켜 주는 것, 자양물",食物,,/ˈsʌst(ə)nəns/,,"food, nutriment, nutrition, fare, diet, daily bread, provisions, rations, means of keeping body and soul together","From Middle English, borrowed from Old French, from sustenir (14c) with the suffix -ance, from Vulgar Latin *sustenire, from Latin sustinere. Cf. also Late Latin sustinentia.
",[NOUN],"Sustenance is food or drink which a person, animal, or plant needs to remain alive and healthy.",
abolish,(법률·제도·조직을) 폐지하다,废除，废止,,/əˈbɒlɪʃ/,,"do away with, get rid of, scrap, end, stop, terminate, eradicate, eliminate, exterminate, destroy, annihilate, stamp out, obliterate, wipe out, extinguish, quash, expunge, extirpate","From late Middle English abolisshen, from Middle French abolir, aboliss- (extended stem),[1] from Latin abolēre (“to retard, check the growth of, (and by extension) destroy, abolish”), inchoative abolēscere (“to wither, vanish, (Classical) cease”),[2] probably from ab (“from, away from”) + *olēre (“to increase, grow”) which is found only in compound.[3]
",[VERB],"If someone in authority abolishes a system or practice, they formally put an end to it.",
incisive,(사물 인식 능력이) 예리한[날카로운],锐利的；深刻的,,/ɪnˈsʌɪsɪv/,,"acute, sharp, sharp-witted, razor-sharp, keen, rapier-like, astute, shrewd, trenchant, piercing, perceptive, insightful, percipient, perspicacious, discerning, analytical, intelligent, canny, clever, smart, quick","Borrowed from Middle French incisif.
",[ADJ],"You use incisive to describe a person, their thoughts, or their speech when you approve of their ability to think and express their ideas clearly, briefly, and forcefully.",
lectern,"(책 등을 받치는) 독서대, (교회의) 성서대",斜面讲桌,,/ˈlɛkt(ə)n/,,,"15th century partial re-Latinization of early 14th century Middle English lettorne, lettron, from Old French leitrun, from Medieval Latin lectrinum, from Late Latin lectrum, from lectus (from whence also lecture), form of Latin legō (“I read”).[1]
",[NOUN],A lectern is a high sloping desk on which someone puts their notes when they are standing up and giving a lecture.,
fatuity,"어리석음, 우둔",愚味;愚昧;昏庸;愚蠢,记忆技巧：fatu 笨 + ity 具备某种性质，状况 → 愚蠢，愚昧,/fəˈtjuːɪti/,,,"Borrowed from Middle French fatuité.
",[NOUN],complacent foolishness; inanity,
fraternal,공제(共濟)의(사상·이해관계가 같은 개인·집단이 서로 돕기 위한 것),兄弟的，手足的,,/frəˈtəːn(ə)l/,,sibling,"Borrowed from Middle French fraternel, from Medieval Latin frāternālis (“fraternal”), from Latin frāternus (“of or pertaining to a brother, fraternal”), from frāter (“brother”).
",[ADJ],Fraternal actions show strong links of friendship between two people or groups of people.,
reproof,"책망, 나무람",责备；斥责；指责,,/rɪˈpruːf/,,"reprimand, reproach, admonishment, admonition, reproval, remonstration",,[NOUN],"If you say or do something in reproof, you say or do it to show that you disapprove of what someone has done or said.",
bicentennial,"200년간 계속되는, 200년마다의",(庆典)二百周年的,,/bʌɪsɛnˈtɛnɪəl/,,,"From Latin bi two + centum hundred + annus year + -al; surface analyses bi- + centennial and bi- +‎ cent- +‎ -ennial.
",[NOUN],A bicentennial is the same as a bicentenary.,
cum laude,우등으로(미국 대학 학위 취득자 우등 등급의 세 번째 등급),（拉丁语）以优等成绩毕业（美国大学优等学位荣誉中的第三等）,,,,,"From Latin cum (“with”) + laude (ablative of laus, ""praise"").
",[ADV],"with praise: the lowest of three designations for above-average achievement in examinations Compare magna cum laude, summa cum laude",
reprehend,"꾸짖다, 나무라다, 비난하다(blame)",责难;指责;谴责;责备;斥责,记忆技巧：re 反 + prehend 抓 → 反过来抓住〔别人的缺点〕→ 责难,/ˌrɛprɪˈhɛnd/,,"censure, condemn, castigate, chastise, lambaste, pillory, savage, find fault with, fulminate against, abuse","From Latin reprehendō (“I hold back, check, blame”), from re- (“back”) + prehendō (“I hold, seize”). Confer French reprendre (“to reprove”).
",[VERB],to find fault with; criticize,
archaic,"낡은, 폐물이 된",古老的，古代的；原始的,,/ɑːˈkeɪɪk/,,"obsolescent, out of date, anachronistic, old-fashioned, outmoded, behind the times, bygone, antiquated, antique, superannuated, antediluvian, past its prime, having seen better days, olde worlde, old-fangled","From archaism (“ancient or obsolete phrase or expression”) or from French archaïque, ultimately from Ancient Greek ἀρχαϊκός (arkhaïkós, “old-fashioned”), from ἀρχαῖος (arkhaîos, “from the beginning, antiquated, ancient, old”), from ἀρχή (arkhḗ, “beginning, origin”), from ἄρχω (árkhō, “I am first”).
",[ADJ],Archaic means extremely old or extremely old-fashioned.,
spartan,"검소하고 엄격한, 스파르타식의",简朴的，清苦的；斯巴达式的,,/ˈspɑːt(ə)n/,,"harsh, hard, frugal, stringent, rigorous, arduous, strict, stern, severe, rigid","By analogy with the ancient Spartans, who famously possessed these qualities.
",[ADJ],"A spartan lifestyle or existence is very simple or strict, with no luxuries.",
equidistant,등거리의,等距的,,/ˌiːkwɪˈdɪst(ə)nt/,,"mid, mean, medium, medial, median, midway, halfway, equidistant, mesial","From Middle French équidistant, from Late Latin aequidistantem, from aequī (“equal”) +‎ distantem (“distant”).
",[ADJ],A place that is equidistant from two other places is the same distance away from each of these places.,
antiseptic,소독제[약],防腐剂；（尤指）杀菌剂，消毒剂,,/antɪˈsɛptɪk/,,"germicidal, bactericidal","From anti- +‎ septic.
",[NOUN],Antiseptic is a substance that kills germs and harmful bacteria.,
disjointed,"연결이 안 되는, 일관성이 없는",（尤指词语或想法）不连贯的，没有条理的，杂乱无章的,,/dɪsˈdʒɔɪntɪd/,,"disconnected, without unity, disunited, discontinuous, fragmented, fragmentary, disorganized, disordered, muddled, mixed up, jumbled, garbled, incoherent, confused, fitful, erratic, spasmodic, patchy, scrappy, bitty, piecemeal",,[ADJ],"Disjointed words, thoughts, or ideas are not presented in a smooth or logical way and are therefore difficult to understand.",
chasten,"잘못을 깨닫게 하다, 훈계하다",惩戒；磨炼；教训,,/ˈtʃeɪs(ə)n/,,"humble, cow, squash, deflate, flatten, bring down, bring low, take down a peg or two, humiliate, mortify","From Middle English chastien, from Old French chastier (“punish”), from Latin castīgāre. See also chastise, castigate and chaste.
",[VERB],"If you are chastened by something, it makes you regret that you have behaved badly or stupidly.",
amoral,도덕관념이 없는,毫无道德观念的；没有道德的,,/eɪˈmɒr(ə)l/,,"without standards, without morals","From a- (“not”) +‎ moral.
",[ADJ],"If you describe someone as amoral, you do not like the way they behave because they do not seem to care whether what they do is right or wrong.",
inherent,내재하는,内在的；固有的，生来就有的,,/ɪnˈhɪər(ə)nt/,,"innate, immanent, built-in, inborn, ingrained, deep-rooted","From Latin inhaerentem, accusative singular of inhaerēns, present active participle of inhaereō (“I am closely connected with; adhere to”).
",[ADJ],The inherent qualities of something are the necessary and natural parts of it.,
callow,"미숙한, 풋내기인",（尤指年轻人）幼稚的；不自信的；不谙世事的,,/ˈkaləʊ/,,"inexperienced, naive, green, as green as grass, born yesterday, raw, unseasoned, untrained, untried","From Middle English calwe (“bald”), from Old English calu (“callow, bare, bald”), from Proto-Germanic *kalwaz (“bare, naked, bald”), from Proto-Indo-European *gel(H)wo- (“naked, bald”). Cognate with West Frisian keal (“bald”), Dutch kaal (“bald”), German kahl (“bald”), Russian го́лый (gólyj, “nude”), Latin calvus (“bald”), Persian کل‎ (kal), Sanskrit कुल्व (kulvá).
",[ADJ],A callow young person has very little experience or knowledge of the way they should behave as an adult.,
harbinger,(흔히 좋지 않은 일이 곧 일어날) 조짐,（尤指坏事的）先兆，预兆,,/ˈhɑːbɪn(d)ʒə/,,"sign, indicator, indication, signal, prelude, portent, omen, augury, forewarning, presage, announcer","Originally, a person that is sent in advance to arrange lodgings. From Middle English herbergeour, from Old French herbergeor (French hébergeur), from Frankish *heriberga (“lodging, inn”, literally “army shelter”), from Proto-Germanic *harjaz (“army”) + *bergô (“protection”). Compare German Herberge, Italian albergo, Dutch herberg, English harbor. More at here, borrow.
",[NOUN],"Something that is a harbinger of something else, especially something bad, is a sign that it is going to happen.",
curt,퉁명스러운,（态度或说话）简短失礼的，唐突的，草率的,,/kəːt/,,"brusque, abrupt, clipped, blunt, short, monosyllabic, summary, snappy, snappish, sharp, crisp, tart","From the Latin curtus (“shortened”). Cognate with German kurz, Galician corto, Italian corto, Portuguese corto, and Spanish corto.
",[ADJ],"If you describe someone as curt, you mean that they speak or reply in a brief and rather rude way.",
dissect,(인체·동식물을) 해부[절개]하다,解剖（尤指尸体或植物）,,/dʌɪˈsɛkt/,,"cut up, cut open, lay open, dismember","Borrowed from Latin dissectus past participle of dissecare (“to cut asunder, cut up”), from dis- (“asunder”) + secare (“to cut”); see section.
",[VERB],"If someone dissects the body of a dead person or animal, they carefully cut it up in order to examine it scientifically.",
descry,(불현듯) 보게 되다,突然看到;突然发现,,/dɪˈskrʌɪ/,,"make out, pick out, detect, recognize, notice, observe, see, spot","From Middle English descrien, descryen, from Old French descrier (“to proclaim, announce, cry”), from des- + crier (“shout, cry”).
",[VERB],to discern or make out; catch sight of,
abet,(나쁜 일을) 사주하다[교사하다],教唆，唆使，怂恿；伙同…作案,,/əˈbɛt/,,"aid, help, lend a hand, support, back, encourage","From Middle English abetten, abette, from Old French abeter (“to entice”), from a- (“to”) + beter (“hound on, urge, to bait”), either from Middle Dutch bētan (“incite”) or from Old Norse beita (“to cause to bite, bait, incite”)[1], from Proto-Germanic *baitijaną (“to cause to bite”), from Proto-Indo-European *bʰeyd- (“to split”). Cognate with Icelandic beita (“to set dogs on; to feed”).
",[VERB],"If one person abets another, they help or encourage them to do something criminal or wrong. Abet is often used in the legal expression `aid and abet'.",
askance,"의심[불신]의 눈으로; 옆으로, 비스듬히; 곁눈으로; 빗대어, 어물어물",怀疑地；侧目（斜视）地,,/əˈskans/,,"with suspicion, sceptically, with misgivings, cynically, mistrustfully, distrustfully, with distrust, doubtfully, dubiously, with doubt","Unknown. Possibly from Middle English askances (“as if”), or from Old French a escone (“hidden”) or Italian a scancio (“obliquely”). Compare asquint, Middle English askoyn (“at a slant, askance”), Dutch schuin, schuins (“sideways”), schuiven (“to shove”), schuinte (“slope”).
",[PHRASE],"If you look askance at someone or something, you have a doubtful or suspicious attitude towards them.",
thesaurus,유의어 사전,同义词词典,,/θɪˈsɔːrəs/,,"wordbook, synonym dictionary, synonym lexicon","16th century, from Latin thēsaurus, from Ancient Greek θησαυρός (thēsaurós, “storehouse, treasure”); its current English usage/meaning was established soon after the publication of Peter Roget's Thesaurus of English Words and Phrases in 1852
",[NOUN],A thesaurus is a reference book in which words with similar meanings are grouped together.,
pithy,간결하나 함축적인,（讲话或写作）言简意赅的，简洁有力的,,/ˈpɪθi/,,"short, brief, compact, condensed, crisp, laconic, terse, tight, to the point, economic, pithy, thumbnail, summary, short and sweet, in a few well-chosen words, compendious, epigrammatic, synoptic, aphoristic, gnomic","pith +‎ -y
",[ADJ],"A pithy comment or piece of writing is short, direct, and full of meaning.",
bilateral,"쌍방의, 쌍무적인",双边的，双方的,,/bʌɪˈlat(ə)r(ə)l/,,,"From bi- +‎ lateral.
",[ADJ],"Bilateral negotiations, meetings, or agreements, involve only the two groups or countries that are directly concerned.",
infallible,결코 틀리지[실수하지] 않는,不可能错误的；永无过失的；不会犯错误的,,/ɪnˈfalɪb(ə)l/,,"error-free, unfailing, faultless, flawless, impeccable, perfect, true, uncanny, precise, accurate, meticulous, scrupulous","From Medieval Latin infallibilis, from Latin in- + fallibilis. Compare French infaillible.
",[ADJ],"If a person or thing is infallible, they are never wrong.","information, book    [WS], reference"
euthanasia,안락사,安乐死,,/ˌjuːθəˈneɪzɪə/,,"assisted suicide, physician-assisted suicide","First attested in 1606, from Ancient Greek εὐθανασία (euthanasía), from εὐ- (eu-, “good”) + θάνατος (thánatos, “death”)
",[NOUN],"Euthanasia is the practice of killing someone who is very ill and will never get better in order to end their suffering, usually done at their request or with their consent.",
infusion,(어떤 것을 더 강하게·성공적이 되게 하기 위한) 투입,注入；灌输,,/ɪnˈfjuːʒ(ə)n/,,"broth, bouillon, juice, gravy, liquid, infusion, extract, concentrate, decoction","Borrowed from Old French infusion, from Latin infusio, infusionem (“a pouring into, a wetting, a dyeing, a flow”), from infundo.
",[NOUN],"If there is an infusion of one thing into another, the first thing is added to the other thing and makes it stronger or better.",
harried,"몹시 곤란을 겪는, 어찌할 바를 모르는.",(不断)烦扰;折磨;反复进攻;不断袭击,,/ˈharɪd/,,,,[ADJ],,
carom,(…에) 부딪쳐[맞고] 튀어나오다,撞击后弹开,,/ˈkarəm/,,"rebound, be deflected",,[NOUN],Also called (in Britain and certain other countries) : cannon,
ingenuous,"순진한, 천진한, 사람을 잘 믿는",天真的；胸无城府的,,/ɪnˈdʒɛnjʊəs/,,"innocent, simple, childlike, trusting, trustful, over-trusting, unwary, unsuspicious, unguarded, unsceptical, uncritical, unworldly, wide-eyed, inexperienced, green","Borrowed from Latin ingenuus (“of noble character, frank”).
",[ADJ],"If you describe someone as ingenuous, you mean that they are innocent, trusting, and honest.",
dichotomy,"양분(兩分), 이분(二分)",一分为二，对立,,/dʌɪˈkɒtəmi/,,"separation, divorce, split, gulf, chasm","From Ancient Greek διχότομος (dikhótomos, “equally divided, cut in half”) + -y.
",[NOUN],"If there is a dichotomy between two things, there is a very great difference or opposition between them.",
fey,"약간 특이한, 비현실적인 데가 있는",神秘古怪的；故弄玄虚的,,/feɪ/,,"ill-starred, ill-omened, star-crossed, under a curse, cursed, jinxed, foredoomed, hapless, damned, bedevilled, luckless, unlucky",,[ADJ],"If you describe someone as fey, you mean that they behave in a shy, childish, or unpredictable way, and you are often suggesting that this is unnatural or insincere.",
turpitude,대단히 부도덕한 행위,邪恶；堕落,,/ˈtəːpɪtjuːd/,,"immorality, depravity, corruption, corruptness, vice, degeneracy, evil, baseness, iniquity, sinfulness, vileness","Borrowed from Middle French turpitude, from Latin turpitūdō (“baseness, infamy”), from turpis (“foul, base”).
",[NOUN],Turpitude is very immoral behaviour.,
reclaim,(분실하거나 빼앗긴 물건 등을) 되찾다[돌려 달라고 하다],取回；拿回；收回,,/rɪˈkleɪm/,,"claim back, have returned, recover, take back, regain, retrieve, recoup","Borrowed from Anglo-Norman reclamer (noun reclaim), Middle French reclamer (noun reclaim), from Latin reclāmō, reclāmāre.
",[VERB],"If you reclaim something that you have lost or that has been taken away from you, you succeed in getting it back.",
duress,"협박, 압력",威胁，胁迫,,/djʊ(ə)ˈrɛs/,,"compulsion, force, pressure, pressurization, intimidation, threats, constraint, enforcement, exaction","Borrowed from Old French duresse, from Latin duritia (“hardness”), from durus (“hard”).
",[NOUN],To do something under duress means to do it because someone forces you to do it or threatens you.,
vindicate,(특히 남들은 달리 생각할 때) …의 정당성을 입증하다,证明…正确；证明…是真的,,/ˈvɪndɪkeɪt/,,"clear, absolve, free from blame, declare innocent, exonerate, exculpate, discharge, liberate, free, deliver, redeem","Borrowed from Latin vindicātus, perfect passive participle of vindicō (“lay legal claim to something; set free; protect, avenge, punish”), from vim, accusative singular of vīs (“force, power”), + dīcō (“say; declare, state”). See avenge.
",[VERB],"If a person or their decisions, actions, or ideas are vindicated, they are proved to be correct, after people have said that they were wrong.",
rent,"집세, 방세, 지대, 임차료",租金；租费,,/rɛnt/,,rental,,[VERB],"If you rent something, you regularly pay its owner a sum of money in order to be able to have it and use it yourself.",
disconsolate,암담한,沮丧的，郁郁寡欢的,,/dɪsˈkɒns(ə)lət/,,"unhappy, doleful, woebegone, dejected, downcast, downhearted, despondent, dispirited, crestfallen, cast down, depressed, fed up, disappointed, disheartened, discouraged, demoralized, crushed, desolate, heartbroken, broken-hearted, inconsolable, heavy-hearted, low-spirited, forlorn, in the doldrums, melancholy, miserable, long-faced, wretched, glum, gloomy, dismal","From Medieval Latin discōnsōlātus (“comfortless”), from dis- (“away”) +‎ cōnsōlātus (“consoled”).
",[ADJ],Someone who is disconsolate is very unhappy and depressed.,
relax,(즐기는 일을 하면서) 휴식을 취하다[느긋이 쉬다],（使）放松，（使）轻松；（使身体部位）松弛，放松,,/rɪˈlaks/,,"loosen up, ease off, ease up, let up, slow down, de-stress, unbend, rest, repose, put one's feet up, take it easy, take time off, take time out, slack off, be at leisure, take one's leisure, take one's ease, laze, luxuriate, do nothing, sit back, lounge, loll, slump, flop, idle, loaf, enjoy oneself, amuse oneself, play, entertain oneself","Borrowed from Old French relaxer, from Latin relaxāre (“relax, loosen, open”), from re- (“back”) + laxāre (“loosen”), from laxus (“loose, free”).
",[VERB],"If you relax or if something relaxes you, you feel more calm and less worried or tense.",
preclude,"(~로 하여금 ~하지) 못하게 하다, (~가 ~하는 것을) 불가능하게 하다",排除，防止，杜绝；阻碍,,/prɪˈkluːd/,,"make it impossible for, make it impracticable for, rule out, put a stop to, stop, prohibit, debar, interdict, block, bar, hinder, impede, inhibit, exclude, disqualify, forbid","Borrowed from Latin praecludo.
",[VERB],"If something precludes an event or action, it prevents the event or action from happening.",
predilection,(…을) 매우 좋아함,偏爱，偏好,,/ˌpriːdɪˈlɛkʃ(ə)n/,,"fondness, preference, partiality, taste, penchant, weakness, soft spot, fancy, inclination, leaning, bias, propensity, bent, proclivity, proneness, predisposition, tendency, affinity, appetite, love","Borrowed from French prédilection.
",[NOUN],"If you have a predilection for something, you have a strong liking for it.",
idiom,"관용구, 숙어",习语，成语，惯用语,,/ˈɪdɪəm/,,"idiomatic expression, turn of phrase, set phrase, fixed expression, phrase","From Middle French idiome, and its source, Late Latin idioma, from Ancient Greek ἰδίωμα (idíōma, “a peculiarity, property, a peculiar phraseology, idiom”), from ἰδιοῦσθαι (idioûsthai, “to make one's own, appropriate to oneself”), from ἴδιος (ídios, “one's own, pertaining to oneself, private, personal, peculiar, separate”).
",[NOUN],"A particular idiom is a particular style of something such as music, dance, or architecture.",
assuage,(안 좋은 감정을) 누그러뜨리다[달래다],缓和；减轻；平息,,/əˈsweɪdʒ/,,"ease, alleviate, soothe, mitigate, dampen, allay, calm, palliate, abate, lull, temper, suppress, smother, stifle, subdue, tranquillize, mollify, moderate, modify, tone down, attenuate, dilute, lessen, diminish, decrease, reduce, lower","Middle English aswagen, from Old French asuagier (“to appease, to calm”), from Vulgar Latin *assuaviō (“I sweeten, I 'butter up', I calm”), derived from ad- + suavis (“sweet”) + -ō.
",[VERB],"If you assuage an unpleasant feeling that someone has, you make them feel it less strongly.",
extol,극찬[격찬]하다,赞扬；赞颂；赞美,,/ɪkˈstəʊl/,,"go into raptures about, go into raptures over, wax lyrical about, sing the praises of, praise to the skies, heap praise on, eulogize, rhapsodize over, rave about, enthuse about, enthuse over, gush about, gush over, throw bouquets at, express delight over, acclaim","Borrowed from Latin extollō (“elevate, raise high”).
",[VERB],"If you extol something or someone, you praise them enthusiastically.",druthers (usually plural)
incognito,"자기 신분을 숨기고, 가명[익명]으로",隐姓埋名地，隐藏身分地,,/ˌɪnkɒɡˈniːtəʊ/,,"under a false name, with one's identity concealed, in disguise, disguised, under cover, in plain clothes, camouflaged","Borrowed from Italian incognito, from Latin incognitus (“unknown”), from in- (“not”) + cognitus (“known”), perfect passive participle of cognoscere.
",[ADJ],"Someone who is incognito is using a false name or wearing a disguise, in order not to be recognized or identified.",
dissemble,"(진짜 감정·의도를) 숨기다, 가식적으로 꾸미다",掩盖，掩饰（动机、感情、真相等）,,/dɪˈsɛmb(ə)l/,,"pretend, deceive, feign, act, masquerade, sham, fake, bluff, counterfeit, pose, posture, hide one's feelings, be dishonest, put on a false front, lie","From Latin dissimulare.
",[VERB],"When people dissemble, they hide their real intentions or emotions.",
